source_token	total_skips	top_reasons
deserve	237	no_valid_candidates:233, pos_blocked:v:4
went	236	too_many_synsets:236
shook	235	no_valid_candidates:176, pos_blocked:v:59
literally	235	no_valid_candidates:235
finishing	235	pos_blocked:v:125, no_valid_candidates:110
without	234	no_synsets:234
sendhelp	234	no_synsets:234
send	234	no_valid_candidates:140, pos_blocked:v:94
nothanks	233	no_synsets:233
hold	233	too_many_synsets:233
hanks	233	no_valid_candidates:233
turn	232	too_many_synsets:232
disappear	232	no_valid_candidates:232
putting	230	pos_blocked:v:141, no_valid_candidates:89
sit	227	pos_blocked:v:137, no_valid_candidates:90
know	227	no_valid_candidates:190, pos_blocked:v:37
fast	225	no_valid_candidates:225
blanket	225	no_valid_candidates:225
toronto	224	no_valid_candidates:224
saving	223	too_many_synsets:223
right	223	too_many_synsets:223
mental	223	no_valid_candidates:223
chicago	217	no_valid_candidates:217
honestly	216	no_valid_candidates:216
staring	215	no_valid_candidates:209, pos_blocked:s:6
